Year,Word,Frequency,Category
1984,pista,1,other
1984,miliardi,1,other
1984,ndrangheta,1,other
1984,venti,1,other
1985,tv,2,other
1985,tribune,1,other
1985,meter,1,other
1985,terzo,1,other
1985,satellite,1,other
1986,tv,8,other
1986,presidente,4,other
1986,miliardi,3,other
1986,prima,3,other
1986,milano,3,other
1986,diretta,2,other
1986,parla,2,other
1987,tv,15,other
1987,diretta,5,other
1987,giornale,3,other
1987,rete,3,other
1987,nuovo,2,other
1987,film,2,other
1988,standa,10,other
1988,tv,6,other
1988,tg,4,other
1988,film,2,other
1988,autunno,2,other
1988,diretta,2,other
1988,piani,2,other
1988,classifica,2,other
1988,ricchi,2,other
1988,scambio,1,other
1989,tv,5,other
1989,standa,3,other
1989,giornalisti,2,other
1989,satellite,2,other
1989,nuovo,2,other
1989,cinema,2,other
1990,tv,4,other
1990,cir,2,other
1990,febbre,1,other
1990,alta,1,other
1990,lungo,1,other
1991,tv,4,other
1991,giornale,2,other
1991,standa,2,other
1991,carnevale,2,other
1991,arbitro,1,other
1992,tv,10,other
1992,esame,2,other
1992,stranieri,2,other
1992,fronte,2,other
1992,mercato,2,other
1992,regole,2,other
1992,vetrina,2,other
1992,carnevale,2,other
1992,opzione,1,other
1993,tv,8,other
1993,piazza,3,other
1993,milano,2,other
1993,giro,2,other
1993,uomo,2,other
1994,tv,23,other
1994,prima,10,other
1994,giudici,9,other
1994,parla,6,other
1994,roma,6,other
1994,miglio,5,other
1994,gia,5,other
1994,parola,5,other
1995,tv,5,other
1995,miliardi,4,other
1995,giudici,4,other
1995,gia,3,other
1996,tv,12,other
1996,nuovo,3,other
1996,dotti,3,other
1997,tv,5,other
1998,giudici,5,other
1998,capello,4,other
1998,milano,4,other
1999,segni,6,other
1999,giudizio,4,other
2000,tv,7,other
2001,miliardi,12,other
2001,tv,11,other
2001,roma,10,other
2001,rosso,9,other
2001,libro,8,other
2002,piazza,15,other
2002,tv,15,other
2002,giudici,11,other
2002,roma,10,other
2003,giudici,11,other
2003,tv,9,other
2004,tv,27,other
2004,verifica,15,other
2004,sì,15,other
2005,nuovo,11,other
2005,sì,10,other
2005,tv,10,other
2006,tv,48,other
2006,sì,13,other
2006,piazza,13,other
2007,piazza,17,other
2007,tv,13,other
2007,sì,11,other
2007,nuovo,8,other
2007,vita,8,other
2008,tv,40,other
2008,sì,27,other
2008,piazza,19,other
2008,nuovo,19,other
2009,stampa,43,other
2009,sì,27,other
2009,tv,22,other
2009,foto,21,other
2009,giudici,21,other
2009,repubblica,20,other
2009,giornali,19,other
2009,times,19,other
2010,nuovo,32,other
2010,piazza,24,other
2011,milano,38,other
2011,piazza,35,other
2011,giudici,30,other
2012,nuovo,38,other
2012,tv,36,other
2012,campo,34,other
2012,grillo,20,other
2013,grillo,75,other
2013,piazza,51,other
2013,tv,42,other
2014,grillo,63,other
2014,sì,29,other
2014,giudici,28,other
2015,sì,22,other
2015,nuovo,20,other
2015,milano,20,other
2015,campo,18,other
2015,reptv,18,other
2016,roma,60,other
2016,milano,30,other
2016,sì,18,other
2016,tv,13,other
2016,nuovo,12,other
2016,campo,12,other
2017,milano,25,other
2017,grillo,17,other
2017,sì,12,other
2018,grillo,13,other
2018,nuovo,13,other
2018,sì,13,other
2018,milano,12,other
2019,piazza,13,other
2019,nuovo,9,other
2019,giudici,7,other
2020,sì,8,other
2020,mano,7,other
2020,piazza,7,other
2021,nuovo,18,other
2021,milano,17,other
2021,prima,12,other
2021,roma,11,other
2021,presidente,11,other
2021,sì,9,other
2021,unico,9,other
2022,presidente,18,other
2022,milano,17,other
2023,milano,22,other
2023,prima,17,other
2023,tv,16,other
2023,nuovo,16,other
2023,presidente,14,other
